borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
Bronx,Bathgate,01 One Family Dwellings,1,3030,65,A1,4455 Park Avenue,NA,10457,1,0,1,1622,1587,1899,1,A1,458000,2020-01-31T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3030,67,A1,4451 Park Avenue,NA,10457,1,0,1,1646,1495,1899,1,A1,275000,2020-03-16T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3030,70,A1,4445 Park Avenue,NA,10457,1,0,1,1694,1497,1899,1,A1,388500,2019-07-23T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3039,29,A9,2327 Washington Avenue,NA,10458,1,0,1,1095,1260,1910,1,A9,110000,2019-12-06T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3039,29,A9,2327 Washington Ave,NA,10458,1,0,1,1095,1260,1910,1,A9,165000,2020-03-02T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3046,39,A1,2075 Bathgate Avenue,NA,10457,1,0,1,1986,1344,1899,1,A1,420000,2019-05-24T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2912,149,B1,523 East 171 Street,NA,10457,2,0,2,2000,2400,1993,1,B1,505000,2019-11-14T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2912,152,B1,517 East 171 Street,NA,10457,2,0,2,2000,2400,1993,1,B1,630000,2019-08-20T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2927,119,B1,1497 Crotona Place,NA,10456,2,0,2,1900,2394,1994,1,B1,535000,2019-05-08T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3027,26,B2,414 East 178 Street,NA,10457,2,0,2,2000,2364,1899,1,B2,734000,2020-04-22T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3027,26,B2,414 East 178 Street,NA,10457,2,0,2,2000,2364,1899,1,B2,365000,2019-11-21T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3034,138,B1,1937 Washington Ave,NA,10457,2,0,2,2250,3204,1995,1,B1,645000,2020-01-28T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3045,110,B1,2044 Bathgate Ave,NA,10457,2,0,2,2785,2565,1998,1,B1,610000,2019-06-28T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3046,54,B2,2043 Bathgate Avenue,NA,10457,2,0,2,2483,1512,1901,1,B2,461370,2020-01-27T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3047,17,B3,2123 Bathgate Ave,NA,10457,2,0,2,2500,1404,1901,1,B3,629000,2020-04-24T00:00:00Z
